"species","Type","Reitur","km","Fluor","Brennisteinn","Stadur","Mynd","Year","Value","PointType"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R8",1.8,1,1,"Selás","11. mynd",2023,0.5,"Innan þynningarsvæðis flúors"
"Umbilicaria proboscidea","Blað- og runnfléttur","R8",1.8,1,1,"Selás","11. mynd",2020,15,"Innan þynningarsvæðis flúors"
"Umbilicaria proboscidea","Blað- og runnfléttur","R8",1.8,1,1,"Selás","11. mynd",2023,12,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R11",1.9,1,1,"Selás","11. mynd",2020,6,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R11",1.9,1,1,"Selás","11. mynd",2023,3,"Innan þynningarsvæðis flúors"
"Grimmia montana","Mosar","R11",1.9,1,1,"Selás","11. mynd",2020,5,"Innan þynningarsvæðis flúors"
"Grimmia montana","Mosar","R11",1.9,1,1,"Selás","11. mynd",2023,1,"Innan þynningarsvæðis flúors"
"Racomitrium fasciculare","Mosar","R11",1.9,1,1,"Selás","11. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
"Racomitrium fasciculare","Mosar","R11",1.9,1,1,"Selás","11. mynd",2023,1,"Innan þynningarsvæðis flúors"
"Racomitrium heterostichum","Mosar","R11",1.9,1,1,"Selás","11. mynd",2020,2,"Innan þynningarsvæðis flúors"
"Racomitrium heterostichum","Mosar","R11",1.9,1,1,"Selás","11. mynd",2023,3,"Innan þynningarsvæðis flúors"
"Cladonia borealis","Blað- og runnfléttur","R11",1.9,1,1,"Selás","11. mynd",2020,0.01,"Innan þynningarsvæðis flúors"
"Cladonia borealis","Blað- og runnfléttur","R11",1.9,1,1,"Selás","11. mynd",2023,0.1,"Innan þynningarsvæðis flúors"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R11",1.9,1,1,"Selás","11. mynd",2020,0.1,"Innan þynningarsvæðis flúors"
"Parmelia saxatilis","Blað- og runnfléttur","R11",1.9,1,1,"Selás","11. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
"Parmelia saxatilis","Blað- og runnfléttur","R11",1.9,1,1,"Selás","11. mynd",2023,2,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2020,14,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2023,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"mosi","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2020,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"mosi","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Dauður mosi","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2020,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Dauður mosi","Mosar","R12",2,0,0,"Bjarnarholt","24. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R12",2,0,0,"Bjarnarholt","24. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R12",2,0,0,"Bjarnarholt","24. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia caesia","Blað- og runnfléttur","R12",2,0,0,"Bjarnarholt","24. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Xanthoria candelaria","Blað- og runnfléttur","R12",2,0,0,"Bjarnarholt","24. mynd",2020,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Xanthoria candelaria","Blað- og runnfléttur","R12",2,0,0,"Bjarnarholt","24. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R13",2,0,0,"Bjarnarholt","24. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R13",2,0,0,"Bjarnarholt","24. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R13",2,0,0,"Bjarnarholt","24. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R13",2,0,0,"Bjarnarholt","24. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R13",2,0,0,"Bjarnarholt","24. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R13",2,0,0,"Bjarnarholt","24. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R13",2,0,0,"Bjarnarholt","24. mynd",2020,0.01,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R13",2,0,0,"Bjarnarholt","24. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2023,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2023,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2020,23,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2023,22,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi (tekið sýni)","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi (tekið sýni)","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2023,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Dauður mosi","Mosar","R14",2,0,0,"Bjarnarholt","24. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R14",2,0,0,"Bjarnarholt","24. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
