"species","Type","Reitur","1976","1997","2006","2011","2014","2017","2020","2023","1999"
"Cladonia borealis","Blað- og runnfléttur","R3",NA,NA,0.5,0.5,0.5,0.5,0.5,1,NA
"Sphaerophorus fragilis","Blað- og runnfléttur","R3",NA,0.5,0.5,NA,NA,0.5,0.1,0.5,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3",22,20,22,17,15,25,17,17,NA
"Umbilicaria torrefacta","Blað- og runnfléttur","R3",1,0.5,0.5,0.5,0.5,0.5,0.5,0.1,NA
"Amygdalaria pelobotryon","Hrúðurfléttur","R3",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3",NA,1,2,NA,NA,NA,NA,NA,NA
"Bellemerea subsorediza","Hrúðurfléttur","R3",NA,0.5,0.5,NA,NA,NA,NA,NA,NA
"Calvitimela aglaea","Hrúðurfléttur","R3",0.5,1,1,1,1,1,1,1,NA
"Catillaria contristans","Hrúðurfléttur","R3",0.5,0.5,0.5,3,2,1,1,3,NA
"Immersaria athroocarpa","Hrúðurfléttur","R3",NA,2,4,4,1,NA,1,NA,NA
"Lecanora intricata","Hrúðurfléttur","R3",0.5,NA,0.5,0.5,1,NA,1,0.5,NA
"Lecanora polytropa","Hrúðurfléttur","R3",1.5,1,1.5,5,3,2,3,0.5,NA
"Lecanora sp.","Hrúðurfléttur","R3",NA,NA,NA,NA,NA,NA,NA,3,NA
"Lecidea lapicida","Hrúðurfléttur","R3",NA,1,2,1,0.5,NA,2,2,NA
"Lecidea praenubila","Hrúðurfléttur","R3",1,0.5,NA,1,0.5,3,3,2,NA
"Lecidea tesselata","Hrúðurfléttur","R3",5,3,NA,2,2,2,NA,2,NA
"Lepra corallina","Hrúðurfléttur","R3",1,1,1.5,2,2,3,3,2,NA
"Pertusaria aspergilla","Hrúðurfléttur","R3",NA,1,NA,NA,NA,NA,NA,NA,NA
"Placopsis gelida","Hrúðurfléttur","R3",NA,NA,0.5,1,NA,NA,NA,NA,NA
"Porpidia melinodes","Hrúðurfléttur","R3",0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Protoparmelia badia","Hrúðurfléttur","R3",NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R3",7,7,5,9,5,8,12,9,NA
"Tephromela atra","Hrúðurfléttur","R3",0.5,NA,0.5,1,0.5,1,1,0.5,NA
"Tremolecia atrata","Hrúðurfléttur","R3",0.5,0.5,0.5,NA,NA,NA,0.01,NA,NA
"Varicellaria lactea","Hrúðurfléttur","R3",NA,0.5,1,NA,2,2,2,2,NA
"Svart hrúður","Hrúðurfléttur","R3",NA,NA,5,7,5,15,10,8,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R3",7,0.5,NA,3,10,5,10,13,NA
"Ber klöpp","Hrúðurfléttur","R3",NA,NA,NA,6,3,2,5,0.5,NA
"Andreaea rupestris","Mosar","R4",1,1,2,5,NA,NA,NA,NA,NA
"Bryum capillare","Mosar","R4",1,NA,NA,NA,NA,NA,NA,NA,NA
"Homalothecium sericeum","Mosar","R4",8,0.5,NA,NA,NA,NA,NA,NA,NA
"Hypnum cupressiforme","Mosar","R4",NA,0.5,NA,0.5,NA,NA,NA,NA,NA
"Pterigynandrum filiforme","Mosar","R4",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Racomitrium aciculare","Mosar","R4",NA,NA,1,2,NA,NA,NA,NA,NA
"Racomitrium fasciculare","Mosar","R4",NA,0.5,3,5,NA,NA,NA,NA,NA
"Schistidium flexipile","Mosar","R4",1.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Schistidium papillosum","Mosar","R4",NA,NA,1,NA,NA,NA,NA,NA,NA
"Tomentypum nitens","Mosar","R4",NA,NA,3,NA,NA,NA,NA,NA,NA
"Mosi 1","Mosar","R4",NA,NA,NA,2,NA,NA,NA,NA,NA
"Mosi 2","Mosar","R4",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Cladonia pocillum","Blað- og runnfléttur","R4",NA,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Parmelia saxatilis","Blað- og runnfléttur","R4",NA,0.5,2,3,NA,NA,NA,NA,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R4",NA,NA,0.5,0.5,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R4",36,28,25,25,NA,NA,NA,NA,NA
"Bellemerea subsorediza","Hrúðurfléttur","R4",NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Candelariella vitellina","Hrúðurfléttur","R4",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Lecanora polytropa","Hrúðurfléttur","R4",0.5,NA,0.5,0.5,NA,NA,NA,NA,NA
"Lepraria neglecta","Hrúðurfléttur","R4",NA,NA,0.5,1,NA,NA,NA,NA,NA
"Pertusaria aspergilla","Hrúðurfléttur","R4",NA,NA,1,2,NA,NA,NA,NA,NA
"Placopsis gelida","Hrúðurfléttur","R4",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Tephromela atra","Hrúðurfléttur","R4",NA,0.5,0.5,1,NA,NA,NA,NA,NA
"Varicellaria lactea","Hrúðurfléttur","R4",25,30,25,15,NA,NA,NA,NA,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R4",NA,NA,NA,3,NA,NA,NA,NA,NA
"Ber klöpp","Hrúðurfléttur","R4",NA,NA,NA,9,NA,NA,NA,NA,NA
"Andreaea rupestris","Mosar","R5",3,1,NA,0.5,NA,NA,NA,NA,NA
"Grimmia donniana","Mosar","R5",0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Racomitrium fasciculare","Mosar","R5",1,30,NA,NA,NA,NA,NA,NA,NA
"Racomitrium heterostichum","Mosar","R5",2,12,NA,1,NA,NA,NA,NA,NA
"Racomitrium sudeticum","Mosar","R5",2,2,NA,NA,NA,NA,NA,NA,NA
"Dauður mosi","Mosar","R5",NA,NA,NA,46,NA,NA,NA,NA,NA
"Cladonia pocillum","Blað- og runnfléttur","R5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parmelia saxatilis","Blað- og runnfléttur","R5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R5",NA,0.5,NA,0.5,NA,NA,NA,NA,NA
"Umbilicaria torrefacta","Blað- og runnfléttur","R5",0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R5",5,8,NA,1,NA,NA,NA,NA,NA
"Bellemerea subsorediza","Hrúðurfléttur","R5",NA,NA,NA,NA,NA,NA,NA,NA,NA
