"species","Type","Reitur","km","Fluor","Brennisteinn","2020","2023","CoverageChange","Stadur","Mynd"
"Racomitrium fasciculare","Mosar","R11",1.9,1,1,0.5,1,0.5,"Selás","11. mynd"
"Racomitrium heterostichum","Mosar","R11",1.9,1,1,2,3,1,"Selás","11. mynd"
"Schistidium flexipile","Mosar","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Mosi 1safnað","Mosar","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Cladonia borealis","Blað- og runnfléttur","R11",1.9,1,1,0.01,0.1,0.09,"Selás","11. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R11",1.9,1,1,0.1,NA,NA,"Selás","11. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R11",1.9,1,1,0.5,2,1.5,"Selás","11. mynd"
"Acarospora veronensis","Hrúðurfléttur","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R11",1.9,1,1,1,NA,NA,"Selás","11. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R11",1.9,1,1,0.5,NA,NA,"Selás","11. mynd"
"Candelariella vitellina","Hrúðurfléttur","R11",1.9,1,1,0.5,0.1,-0.4,"Selás","11. mynd"
"Catillaria contristans","Hrúðurfléttur","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R11",1.9,1,1,1,1,0,"Selás","11. mynd"
"Lecanora intricata","Hrúðurfléttur","R11",1.9,1,1,0.1,0.5,0.4,"Selás","11. mynd"
"Lecanora polytropa","Hrúðurfléttur","R11",1.9,1,1,0.5,0.1,-0.4,"Selás","11. mynd"
"Lecanora/Aspicilia","Hrúðurfléttur","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Lecidea lapicida var. lapicida","Hrúðurfléttur","R11",1.9,1,1,28,38,10,"Selás","11. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Lecidea sp.","Hrúðurfléttur","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Lecidea swartzioidea","Hrúðurfléttur","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Lecidea tesselata","Hrúðurfléttur","R11",1.9,1,1,4,2,-2,"Selás","11. mynd"
"Placopsis gelida? safnað","Hrúðurfléttur","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R11",1.9,1,1,2,4,2,"Selás","11. mynd"
"Scoliciosporum umbrinum","Hrúðurfléttur","R11",1.9,1,1,NA,NA,NA,"Selás","11. mynd"
"Tephromela atra","Hrúðurfléttur","R11",1.9,1,1,0.5,1,0.5,"Selás","11. mynd"
"Tremolecia atrata","Hrúðurfléttur","R11",1.9,1,1,0.1,0.5,0.4,"Selás","11. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R11",1.9,1,1,15,13,-2,"Selás","11. mynd"
"Ber klöpp","Hrúðurfléttur","R11",1.9,1,1,0.5,0.5,0,"Selás","11. mynd"
"Andreaea rupestris","Mosar","R12",2,0,0,NA,0.5,NA,"Bjarnarholt","24. mynd"
"Grimmia montana","Mosar","R12",2,0,0,3,4,1,"Bjarnarholt","24. mynd"
"Hedwigia stellata","Mosar","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Kiaeria blyttii","Mosar","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Racomitrium fasciculare","Mosar","R12",2,0,0,14,13,-1,"Bjarnarholt","24. mynd"
"Racomitrium heterostichum","Mosar","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Racomitrium lanoginosum","Mosar","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Racomitrium sudeticum","Mosar","R12",2,0,0,2,4,2,"Bjarnarholt","24. mynd"
"mosi","Mosar","R12",2,0,0,4,0.5,-3.5,"Bjarnarholt","24. mynd"
"Dauður mosi","Mosar","R12",2,0,0,8,2,-6,"Bjarnarholt","24. mynd"
