"species","Type","Reitur","km","Fluor","Brennisteinn","2020","2023","CoverageChange","Stadur","Mynd"
"Arctoa fulvella","Mosar","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Didymodon icmadophilus","Mosar","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Frullania tamarisci","Mosar","R18",8.7,0,0,3,1,-2,"Tíðaskarð","31. mynd"
"Grimmia funalis","Mosar","R18",8.7,0,0,1,5,4,"Tíðaskarð","31. mynd"
"Hypnum cupressiforme","Mosar","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Plagiochila porelloides","Mosar","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Pogonatum urnigerum","Mosar","R18",8.7,0,0,0.5,0.5,0,"Tíðaskarð","31. mynd"
"Racomitrium ericoides","Mosar","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Racomitrium fasciculare","Mosar","R18",8.7,0,0,3,5,2,"Tíðaskarð","31. mynd"
"Racomitrium heterostichum","Mosar","R18",8.7,0,0,3,8,5,"Tíðaskarð","31. mynd"
"Racomitrium lanuginosum","Mosar","R18",8.7,0,0,6,NA,NA,"Tíðaskarð","31. mynd"
"Schistidium flexipile","Mosar","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Schistidium papillosum","Mosar","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Mosi 1","Mosar","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Cladonia borealis","Blað- og runnfléttur","R18",8.7,0,0,0.5,NA,NA,"Tíðaskarð","31. mynd"
"Cladonia sp.","Blað- og runnfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Cladonia subcervicornis","Blað- og runnfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Ephebe lanata","Blað- og runnfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Fuscopannaria praetermissa","Blað- og runnfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Parmelia omphalodes","Blað- og runnfléttur","R18",8.7,0,0,13,14,1,"Tíðaskarð","31. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Sphaerophorus fragilis","Blað- og runnfléttur","R18",8.7,0,0,0.5,NA,NA,"Tíðaskarð","31. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R18",8.7,0,0,0.5,1,0.5,"Tíðaskarð","31. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R18",8.7,0,0,NA,0.5,NA,"Tíðaskarð","31. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R18",8.7,0,0,4,5,1,"Tíðaskarð","31. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R18",8.7,0,0,0.5,1,0.5,"Tíðaskarð","31. mynd"
"Candelariella vitellina","Hrúðurfléttur","R18",8.7,0,0,0.01,NA,NA,"Tíðaskarð","31. mynd"
"Catillaria contristans","Hrúðurfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Lecanora intricata","Hrúðurfléttur","R18",8.7,0,0,0.5,1,0.5,"Tíðaskarð","31. mynd"
"Lecanora marginata","Hrúðurfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Lecanora polytropa","Hrúðurfléttur","R18",8.7,0,0,0.5,NA,NA,"Tíðaskarð","31. mynd"
"Lecidea lapicida","Hrúðurfléttur","R18",8.7,0,0,0.5,NA,NA,"Tíðaskarð","31. mynd"
"Lecidella meiococca","Hrúðurfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Lepraria neglecta","Hrúðurfléttur","R18",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Ochrolechia parella","Hrúðurfléttur","R18",8.7,0,0,1,1,0,"Tíðaskarð","31. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R18",8.7,0,0,4,3,-1,"Tíðaskarð","31. mynd"
"Placopsis gelida","Hrúðurfléttur","R18",8.7,0,0,1,4,3,"Tíðaskarð","31. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R18",8.7,0,0,0.5,1,0.5,"Tíðaskarð","31. mynd"
"Tephromela atra","Hrúðurfléttur","R18",8.7,0,0,1,2,1,"Tíðaskarð","31. mynd"
"Tremolecia atrata","Hrúðurfléttur","R18",8.7,0,0,0.5,0.5,0,"Tíðaskarð","31. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R18",8.7,0,0,10,15,5,"Tíðaskarð","31. mynd"
"Ber klöpp","Hrúðurfléttur","R18",8.7,0,0,5,5,0,"Tíðaskarð","31. mynd"
"Amphidium lapponicum","Mosar","R19",3.9,0,0,0.1,0.1,0,"Ofan Hvalfjarðareyrar","28. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R19",3.9,0,0,1,2,1,"Ofan Hvalfjarðareyrar","28. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R19",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Candelariella vitellina","Hrúðurfléttur","R19",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Lecanora intricata","Hrúðurfléttur","R19",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Lecidella meiococca","Hrúðurfléttur","R19",3.9,0,0,12,18,6,"Ofan Hvalfjarðareyrar","28. mynd"
"Ochrolechia parella","Hrúðurfléttur","R19",3.9,0,0,2,2,0,"Ofan Hvalfjarðareyrar","28. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R19",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Porpidia tuberculosa/soredizodes","Hrúðurfléttur","R19",3.9,0,0,6,1,-5,"Ofan Hvalfjarðareyrar","28. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R19",3.9,0,0,0.5,0.5,0,"Ofan Hvalfjarðareyrar","28. mynd"
"Scoliciosporum umbrinum","Hrúðurfléttur","R19",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Tephromela atra","Hrúðurfléttur","R19",3.9,0,0,2,5,3,"Ofan Hvalfjarðareyrar","28. mynd"
"Tremolecia atrata","Hrúðurfléttur","R19",3.9,0,0,0.01,1,0.99,"Ofan Hvalfjarðareyrar","28. mynd"
"Varicellaria lactea","Hrúðurfléttur","R19",3.9,0,0,4,6,2,"Ofan Hvalfjarðareyrar","28. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R19",3.9,0,0,20,20,0,"Ofan Hvalfjarðareyrar","28. mynd"
"Ber klöpp","Hrúðurfléttur","R19",3.9,0,0,2,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Andreaea rupestris","Mosar","R20",3.9,0,0,6,11,5,"Ofan Hvalfjarðareyrar","28. mynd"
"Frullania tamarisci","Mosar","R20",3.9,0,0,1,2,1,"Ofan Hvalfjarðareyrar","28. mynd"
"Pogonatum urnigerum cf.","Mosar","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Racomitrium fasciculare","Mosar","R20",3.9,0,0,0.5,2,1.5,"Ofan Hvalfjarðareyrar","28. mynd"
"Racomitrium lanuginosum","Mosar","R20",3.9,0,0,0.1,0.5,0.4,"Ofan Hvalfjarðareyrar","28. mynd"
"Ephebe lanata","Blað- og runnfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Massalongia carnosa","Blað- og runnfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Placidium lachneum","Blað- og runnfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R20",3.9,0,0,0.5,0.5,0,"Ofan Hvalfjarðareyrar","28. mynd"
"Vestergrenopsis elaeina","Blað- og runnfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R20",3.9,0,0,7,6,-1,"Ofan Hvalfjarðareyrar","28. mynd"
"Candelariella vitellina","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Catillaria contristans","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Lecanora intricata","Hrúðurfléttur","R20",3.9,0,0,1,3,2,"Ofan Hvalfjarðareyrar","28. mynd"
"Lecanora polytropa","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Lecidea lapicida","Hrúðurfléttur","R20",3.9,0,0,0.5,1,0.5,"Ofan Hvalfjarðareyrar","28. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R20",3.9,0,0,5,8,3,"Ofan Hvalfjarðareyrar","28. mynd"
"Pertusaria sp.","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Placopsis gelida","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R20",3.9,0,0,0.5,0.5,0,"Ofan Hvalfjarðareyrar","28. mynd"
"Rhizocarpon lavatum","Hrúðurfléttur","R20",3.9,0,0,0.5,0.5,0,"Ofan Hvalfjarðareyrar","28. mynd"
"Scoliciosporum umbrinum","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Toninia squalida","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Tremolecia atrata","Hrúðurfléttur","R20",3.9,0,0,0.5,0.1,-0.4,"Ofan Hvalfjarðareyrar","28. mynd"
"Varicellaria lactea","Hrúðurfléttur","R20",3.9,0,0,10,11,1,"Ofan Hvalfjarðareyrar","28. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R20",3.9,0,0,20,15,-5,"Ofan Hvalfjarðareyrar","28. mynd"
"Ber klöpp","Hrúðurfléttur","R20",3.9,0,0,NA,NA,NA,"Ofan Hvalfjarðareyrar","28. mynd"
"Andreaea rupestris","Mosar","R21",20.9,0,0,12,17,5,"Hvalfjarðarbotn","36. mynd"
"Bartramia ithyphylla","Mosar","R21",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Polytrichum alpinum","Mosar","R21",20.9,0,0,0.5,2,1.5,"Hvalfjarðarbotn","36. mynd"
"Racomitrium fasciculare","Mosar","R21",20.9,0,0,0.5,1,0.5,"Hvalfjarðarbotn","36. mynd"
"Racomitrium heterostichum","Mosar","R21",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Racomitrium lanuginosum","Mosar","R21",20.9,0,0,1,2,1,"Hvalfjarðarbotn","36. mynd"
"Racomitrium sudeticum","Mosar","R21",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R21",20.9,0,0,7,10,3,"Hvalfjarðarbotn","36. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R21",20.9,0,0,1,2,1,"Hvalfjarðarbotn","36. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R21",20.9,0,0,0.1,0.1,0,"Hvalfjarðarbotn","36. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R21",20.9,0,0,2,3,1,"Hvalfjarðarbotn","36. mynd"
"Caloplaca nivalis","Hrúðurfléttur","R21",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Caloplaca sp. á mosa","Hrúðurfléttur","R21",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Catillaria contristans","Hrúðurfléttur","R21",20.9,0,0,1,0.5,-0.5,"Hvalfjarðarbotn","36. mynd"
"Lecanora intricata","Hrúðurfléttur","R21",20.9,0,0,0.5,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Lecanora polytropa","Hrúðurfléttur","R21",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Miriquidica cf.","Hrúðurfléttur","R21",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Ochrolechia androgyna","Hrúðurfléttur","R21",20.9,0,0,2,3,1,"Hvalfjarðarbotn","36. mynd"
"Placopsis gelida","Hrúðurfléttur","R21",20.9,0,0,0.1,1,0.9,"Hvalfjarðarbotn","36. mynd"
"Porpidia melinodes","Hrúðurfléttur","R21",20.9,0,0,NA,0.5,NA,"Hvalfjarðarbotn","36. mynd"
"Tremolecia atrata","Hrúðurfléttur","R21",20.9,0,0,0.5,0.5,0,"Hvalfjarðarbotn","36. mynd"
"Varicellaria lactea","Hrúðurfléttur","R21",20.9,0,0,1,6,5,"Hvalfjarðarbotn","36. mynd"
"svört þekja","Hrúðurfléttur","R21",20.9,0,0,25,20,-5,"Hvalfjarðarbotn","36. mynd"
"ógreind m. svartar askhirslu","Hrúðurfléttur","R21",20.9,0,0,2,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R21",20.9,0,0,10,7,-3,"Hvalfjarðarbotn","36. mynd"
"Ber klöpp","Hrúðurfléttur","R21",20.9,0,0,1,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Sár eftir V. lactea","Hrúðurfléttur","R21",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Andreaea rupestris","Mosar","R22",20.9,0,0,5,7,2,"Hvalfjarðarbotn","36. mynd"
"Pogonatum urnigerum","Mosar","R22",20.9,0,0,0.01,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Racomitrium fasciculare","Mosar","R22",20.9,0,0,1,0.5,-0.5,"Hvalfjarðarbotn","36. mynd"
"Racomitrium lanuginosum","Mosar","R22",20.9,0,0,7,8,1,"Hvalfjarðarbotn","36. mynd"
"Racomitrium sudeticum","Mosar","R22",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"dauður mosi","Mosar","R22",20.9,0,0,3,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Ephebe lanata","Blað- og runnfléttur","R22",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Massalongia carnosa","Blað- og runnfléttur","R22",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R22",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Acarospora veronensis","Hrúðurfléttur","R22",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Arthrorhaphis alpina","Hrúðurfléttur","R22",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R22",20.9,0,0,0.5,0.1,-0.4,"Hvalfjarðarbotn","36. mynd"
"Catillaria contristans","Hrúðurfléttur","R22",20.9,0,0,1,1,0,"Hvalfjarðarbotn","36. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R22",20.9,0,0,0.5,1,0.5,"Hvalfjarðarbotn","36. mynd"
"Lecanora intricata","Hrúðurfléttur","R22",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Lecanora polytropa","Hrúðurfléttur","R22",20.9,0,0,0.5,0.5,0,"Hvalfjarðarbotn","36. mynd"
"Lecidea sp.","Hrúðurfléttur","R22",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Placopsis gelida","Hrúðurfléttur","R22",20.9,0,0,2,2,0,"Hvalfjarðarbotn","36. mynd"
"Porpidia melinodes","Hrúðurfléttur","R22",20.9,0,0,2,3,1,"Hvalfjarðarbotn","36. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R22",20.9,0,0,0.5,1,0.5,"Hvalfjarðarbotn","36. mynd"
"Tremolecia atrata","Hrúðurfléttur","R22",20.9,0,0,4,5,1,"Hvalfjarðarbotn","36. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R22",20.9,0,0,20,10,-10,"Hvalfjarðarbotn","36. mynd"
"Ber klöpp","Hrúðurfléttur","R22",20.9,0,0,14,2,-12,"Hvalfjarðarbotn","36. mynd"
"Andreaea rupestris","Mosar","R23",20.9,0,0,9,18,9,"Hvalfjarðarbotn","36. mynd"
"Arctoa fulvella","Mosar","R23",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Grimmia donniana","Mosar","R23",20.9,0,0,0.5,2,1.5,"Hvalfjarðarbotn","36. mynd"
"Pogonatum urnigerum","Mosar","R23",20.9,0,0,0.5,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Racomitrium fasciculare","Mosar","R23",20.9,0,0,2,2,0,"Hvalfjarðarbotn","36. mynd"
"Racomitrium heterostichum","Mosar","R23",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Racomitrium lanuginosum","Mosar","R23",20.9,0,0,11,13,2,"Hvalfjarðarbotn","36. mynd"
"Racomitrium sudeticum","Mosar","R23",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Cladonia subcervicornis","Blað- og runnfléttur","R23",20.9,0,0,12,12,0,"Hvalfjarðarbotn","36. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R23",20.9,0,0,0.5,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Scytinium lichenoides","Blað- og runnfléttur","R23",20.9,0,0,NA,0.5,NA,"Hvalfjarðarbotn","36. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R23",20.9,0,0,NA,0.1,NA,"Hvalfjarðarbotn","36. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R23",20.9,0,0,0.5,0.5,0,"Hvalfjarðarbotn","36. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R23",20.9,0,0,0.1,0.5,0.4,"Hvalfjarðarbotn","36. mynd"
"Amygdalaria pelobotryon","Hrúðurfléttur","R23",20.9,0,0,0.01,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Arthrorhaphis citrinella","Hrúðurfléttur","R23",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R23",20.9,0,0,0.5,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Catillaria contristans","Hrúðurfléttur","R23",20.9,0,0,1,0.5,-0.5,"Hvalfjarðarbotn","36. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R23",20.9,0,0,1,0.5,-0.5,"Hvalfjarðarbotn","36. mynd"
"Lecanora intricata","Hrúðurfléttur","R23",20.9,0,0,1,2,1,"Hvalfjarðarbotn","36. mynd"
"Lecanora polytropa","Hrúðurfléttur","R23",20.9,0,0,0.5,1,0.5,"Hvalfjarðarbotn","36. mynd"
"Placopsis gelida","Hrúðurfléttur","R23",20.9,0,0,0.5,1,0.5,"Hvalfjarðarbotn","36. mynd"
"Porpidia melinodes","Hrúðurfléttur","R23",20.9,0,0,0.5,1,0.5,"Hvalfjarðarbotn","36. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R23",20.9,0,0,0.1,0.5,0.4,"Hvalfjarðarbotn","36. mynd"
"Tephromela atra","Hrúðurfléttur","R23",20.9,0,0,0.5,1,0.5,"Hvalfjarðarbotn","36. mynd"
"Tremolecia atrata","Hrúðurfléttur","R23",20.9,0,0,NA,0.1,NA,"Hvalfjarðarbotn","36. mynd"
"Lecidea m. litlar svartar","Hrúðurfléttur","R23",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Lecidea m. stórar svartar","Hrúðurfléttur","R23",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"svört Lecidea m. litlar svartar","Hrúðurfléttur","R23",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R23",20.9,0,0,22,15,-7,"Hvalfjarðarbotn","36. mynd"
"Ber klöpp","Hrúðurfléttur","R23",20.9,0,0,3,7,4,"Hvalfjarðarbotn","36. mynd"
"Sauðatað","Hrúðurfléttur","R23",20.9,0,0,NA,NA,NA,"Hvalfjarðarbotn","36. mynd"
"Andreaea rupestris","Mosar","R24",6.9,0,0,13,12,-1,"Skvöp","15. mynd"
"Antitrichia curtipendula","Mosar","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Hypnum cupressiforme","Mosar","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Polytrichum piliferum","Mosar","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Racomitrium fasciculare","Mosar","R24",6.9,0,0,10,11,1,"Skvöp","15. mynd"
"Racomitrium lanuginosum","Mosar","R24",6.9,0,0,0.5,NA,NA,"Skvöp","15. mynd"
"Racomitrium heterostichum","Mosar","R24",6.9,0,0,6,9,3,"Skvöp","15. mynd"
"Racomitrium sudeticum","Mosar","R24",6.9,0,0,2,NA,NA,"Skvöp","15. mynd"
"mosi","Mosar","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Dauður mosi","Mosar","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Cetraria aculeata","Blað- og runnfléttur","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Cyanobacteria","Cyanobacteria","R24",6.9,0,0,NA,0.5,NA,"Skvöp","15. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R24",6.9,0,0,2,2,0,"Skvöp","15. mynd"
"Candelariella vitellina","Hrúðurfléttur","R24",6.9,0,0,0.5,0.5,0,"Skvöp","15. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Lecanora intricata","Hrúðurfléttur","R24",6.9,0,0,5,9,4,"Skvöp","15. mynd"
"Lecanora marginata","Hrúðurfléttur","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Lecanora polytropa","Hrúðurfléttur","R24",6.9,0,0,0.01,NA,NA,"Skvöp","15. mynd"
"Lecidea lapicida","Hrúðurfléttur","R24",6.9,0,0,0.5,3,2.5,"Skvöp","15. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Lecidea praenubila","Hrúðurfléttur","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R24",6.9,0,0,0.5,0.5,0,"Skvöp","15. mynd"
"Tephromela atra","Hrúðurfléttur","R24",6.9,0,0,1,NA,NA,"Skvöp","15. mynd"
"Tremolecia atrata","Hrúðurfléttur","R24",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Varicellaria lactea","Hrúðurfléttur","R24",6.9,0,0,6,6,0,"Skvöp","15. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R24",6.9,0,0,15,17,2,"Skvöp","15. mynd"
"Ber klöpp","Hrúðurfléttur","R24",6.9,0,0,9,4,-5,"Skvöp","15. mynd"
"Andreaea rupestris","Mosar","R25",6.9,0,0,0.5,2,1.5,"Skvöp","15. mynd"
"Grimmia sp.","Mosar","R25",6.9,0,0,0.1,0.5,0.4,"Skvöp","15. mynd"
"Racomitrium fasciculare","Mosar","R25",6.9,0,0,NA,1,NA,"Skvöp","15. mynd"
"Racomitrium heterostichum","Mosar","R25",6.9,0,0,NA,0.5,NA,"Skvöp","15. mynd"
"Schistidium flexipile","Mosar","R25",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R25",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Candelariella vitellina","Hrúðurfléttur","R25",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Carbonea vorticosa","Hrúðurfléttur","R25",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Lecanora intricata","Hrúðurfléttur","R25",6.9,0,0,1,4,3,"Skvöp","15. mynd"
"Lecanora polytropa","Hrúðurfléttur","R25",6.9,0,0,0.5,NA,NA,"Skvöp","15. mynd"
"Lecidella meiococca","Hrúðurfléttur","R25",6.9,0,0,1,0.5,-0.5,"Skvöp","15. mynd"
"Lepra corallina (2023: dauð?)","Hrúðurfléttur","R25",6.9,0,0,3,5,2,"Skvöp","15. mynd"
"Porpidia cinereoatra","Hrúðurfléttur","R25",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Porpidia melinodes","Hrúðurfléttur","R25",6.9,0,0,5,4,-1,"Skvöp","15. mynd"
"Porpidia sp.","Hrúðurfléttur","R25",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Porpidia tuberculosa","Hrúðurfléttur","R25",6.9,0,0,9,7,-2,"Skvöp","15. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R25",6.9,0,0,0.5,1,0.5,"Skvöp","15. mynd"
"Tephromela atra","Hrúðurfléttur","R25",6.9,0,0,5,11,6,"Skvöp","15. mynd"
"Tremolecia atrata","Hrúðurfléttur","R25",6.9,0,0,2,2,0,"Skvöp","15. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R25",6.9,0,0,25,23,-2,"Skvöp","15. mynd"
"Ber klöpp","Hrúðurfléttur","R25",6.9,0,0,NA,0.5,NA,"Skvöp","15. mynd"
"Andreaea rupestris","Mosar","R26",6.9,0,0,1,1,0,"Skvöp","15. mynd"
"Hypnum","Mosar","R26",6.9,0,0,11,10,-1,"Skvöp","15. mynd"
"Pogonatum urnigerum","Mosar","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Polytrichum","Mosar","R26",6.9,0,0,4,9,5,"Skvöp","15. mynd"
"Racomitrium fasciculare","Mosar","R26",6.9,0,0,10,14,4,"Skvöp","15. mynd"
"Racomitrium heterostichum","Mosar","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Racomitrium lanuginosum","Mosar","R26",6.9,0,0,0.5,NA,NA,"Skvöp","15. mynd"
"Racomitrium sudeticum","Mosar","R26",6.9,0,0,0.5,1,0.5,"Skvöp","15. mynd"
"Schistidium flexipile","Mosar","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Schistidium frigidum","Mosar","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Dauður mosi","Mosar","R26",6.9,0,0,NA,4,NA,"Skvöp","15. mynd"
"Cladonia furcata","Blað- og runnfléttur","R26",6.9,0,0,NA,0.1,NA,"Skvöp","15. mynd"
"Cladonia pocillum","Blað- og runnfléttur","R26",6.9,0,0,0.5,1,0.5,"Skvöp","15. mynd"
"Peltigera polydactylon","Blað- og runnfléttur","R26",6.9,0,0,0.5,3,2.5,"Skvöp","15. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R26",6.9,0,0,0.5,NA,NA,"Skvöp","15. mynd"
